Ad?,Company Name,Stars,Phone Number,Yelp URL,Company URL,Email,Street Address,City,State,ZIP,Contacted?,83
Natural,"Ellen A. Mahony, MD",5,(203) 221-0102,http://yelp.com/biz/ellen-a-mahony-md-westport-3?osq=plastic+surgery,http://www.drellenmahony.com,,131 Kings Highway North,Westport,CT,6880,Contacted,
Natural,"Gary J. Price, M.D., P.C",5,(203) 453-6635,http://yelp.com/biz/gary-j-price-md-guilford-2?osq=plastic+surgery,http://www.drgaryprice.com/,,5 Durham Rd#1-8,Guilford,CT,6437,Contacted,
Natural,"Laurence Kirwan, MD, FRCS, FACS",1,(203) 838-8844,http://yelp.com/biz/laurence-kirwan-md-frcs-facs-norwalk?osq=plastic+surgery,http://www.drkirwan.com/,,148 East AvenueSuite 2A,Norwalk,CT,6851,Contacted,
Natural,"Rick Rosen, MD",N/A,(203) 899-0000,http://yelp.com/biz/rick-rosen-md-norwalk?osq=plastic+surgery,http://www.drrickrosen.com,,91 East Ave,Norwalk,CT,6851,Contacted,
Natural,"Alfred Sofer, MD",4.5,(203) 336-9862,http://yelp.com/biz/alfred-sofer-md-fairfield?osq=plastic+surgery,http://www.drsofer.com,,Plastic Surgery Center of Fairfield33 Miller St,Fairfield,CT,6824,Contacted,
Natural,"Wilfred Brown, MD FACS",N/A,(203) 758-2564,http://yelp.com/biz/wilfred-brown-md-facs-middlebury?osq=plastic+surgery,http://www.drwilfredbrown.com,,530 Middlebury RdSte 106B,Middlebury,CT,6762,Contacted,
Natural,Ehrlich Bariatrics,1,(203) 880-5000,http://yelp.com/biz/ehrlich-bariatrics-shelton-2?osq=plastic+surgery,http://www.ehrlichbariatrics.com/,,4 Corporate DrSte 186,Shelton,CT,6484,,
Natural,Elixirspa,4,(203) 227-1826,http://yelp.com/biz/elixirspa-westport?osq=plastic+surgery,http://www.elixirspa.com,,163 Main St,Westport,CT,6880,,
Natural,"Elsa Raskin, MD",N/A,(203) 861-6620,http://yelp.com/biz/elsa-raskin-md-greenwich?osq=plastic+surgery,http://www.elsaraskinmd.com/,,2 1/2 Dearfield DrSte 102,Greenwich,CT,6831,Contacted,
Natural,Esana Plastic Surgery Center and MedSpa,5,(203) 794-7085,http://yelp.com/biz/esana-plastic-surgery-center-and-medspa-new-haven-3?osq=plastic+surgery,http://www.esanamedspa.com/,,1 Audubon StSuite 201,New Haven,CT,6511,Contacted,
Natural,"David Yan, MD",5,(203) 614-8800,http://yelp.com/biz/david-yan-md-fairfield?osq=plastic+surgery,http://www.fairfieldplasticsurgery.com/,,"Fairfield Plastic Surgery140 Sherman St, 3rd Fl",Fairfield,CT,6824,Contacted,
Natural,FUZION Medical Aesthetic Boutique,4,(203) 871-3799,http://yelp.com/biz/fuzion-medical-aesthetic-boutique-branford?osq=plastic+surgery,http://www.fuzionct.com,,2 Chestnut St,Branford,CT,6405,Contacted,
Natural,Greenwich Cosmetic Dentistry,5,(203) 869-2659,http://yelp.com/biz/greenwich-cosmetic-dentistry-greenwich-6?osq=plastic+surgery,http://www.GreenwichCTDentist.com,,40 W Elm StSte 1E,Greenwich,CT,6830,Contacted,
Natural,Imperial Plastic Surgery,N/A,(203) 226-6351,http://yelp.com/biz/imperial-plastic-surgery-westport?osq=plastic+surgery,http://www.implasticsurgery.com,,32 Imperial AveSte B,Westport,CT,6880,,
Natural,Jandali Plastic Surgery,5,(203) 374-0310,http://yelp.com/biz/jandali-plastic-surgery-trumbull?osq=plastic+surgery,http://www.jandaliplasticsurgery.com,,5520 Park AveSte 207,Trumbull,CT,6611,Contacted,
Natural,Klett Oculoplastic Surgery PC,N/A,(203) 318-8660,http://yelp.com/biz/klett-oculoplastic-surgery-pc-madison?osq=plastic+surgery,http://www.klettoculoplasticsurgery.com,,115 Samson Rock Dr,Madison,CT,6443,Contacted,
Natural,"Andrew Kornstein, MD FACS",N/A,(203) 292-9190,http://yelp.com/biz/andrew-kornstein-md-facs-wilton?osq=plastic+surgery,http://www.kornstein.com/,,539 Danbury Rd,Wilton,CT,6897,Contacted,
Natural,Laser Body Solutions,3,(203) 281-5737,http://yelp.com/biz/laser-body-solutions-hamden?osq=plastic+surgery,http://www.laserbody.com/,,2440 Whitney Ave,Hamden,CT,6518,Contacted,
Natural,Nordberg Plastic Surgery,N/A,(203) 324-4700,http://yelp.com/biz/nordberg-leif-o-md-stamford-2?osq=plastic+surgery,http://www.leifnordbergmd.com/,,166 W Broad StSte 401,Stamford,CT,6902,Contacted,
Ad,Life Line Screening,N/A,(866) 895-3361,http://www.yelp.com/biz/life-line-screening-bridgeport,http://www.lifelinescreening.com/,,,Bridgeport,CT,6607,,
Natural,"Jack M. Levine, DDS, FAGD",2,(203) 624-7571,http://yelp.com/biz/jack-m-levine-dds-fagd-new-haven?osq=plastic+surgery,http://www.orangestreetsmiles.com,,375 Orange St,New Haven,CT,6511,Contacted,
Natural,Plastic Surgery of Southern Connecticut,N/A,(203) 454-0044,http://yelp.com/biz/plastic-surgery-of-southern-connecticut-westport-2?osq=plastic+surgery,http://www.plasticsurgeryct.com/,,208 Post Rd W,Westport,CT,6880,Contacted,
Natural,"Jeffrey C Salomon, MD, Facs",N/A,(203) 624-4346,http://yelp.com/biz/jeffrey-c-salomon-md-facs-woodbridge?osq=plastic+surgery,http://www.plasticsurgeryoffice.com,,245 Amity RdSte 108,Woodbridge,CT,6525,Contacted,
Natural,"Lori K Paragas, Podiatrist",N/A,(203) 288-0129,http://yelp.com/biz/lori-k-paragas-podiatrist-hamden?osq=plastic+surgery,http://www.podiatrygroupofnewhaven.com,,1 Evergreen Ave,Hamden,CT,6518,,
Natural,Pomperaug Plastic Surgery,N/A,(203) 262-6200,http://yelp.com/biz/pomperaug-plastic-surgery-southbury?osq=plastic+surgery,http://www.pomperaugplasticsurgery.com,,22 Poverty Road,Southbury,CT,6488,Contacted,
Natural,"Dr. Mark A Erlich, MD",N/A,(203) 852-1650,http://yelp.com/biz/dr-mark-a-erlich-md-norwalk?osq=plastic+surgery,http://www.profilesandcontours.com/,,148 East AvenueSuite 2A,Norwalk,CT,6851,Contacted,
Natural,"Richard J Restifo, MD",5,(203) 772-1444,http://yelp.com/biz/richard-j-restifo-md-wilton?osq=plastic+surgery,http://www.restifoplasticsurgery.com,,539 Danbury Rd,Wilton,CT,6897,Contacted,
Natural,Shoreline Medical Spa & Plastic Surgery,N/A,(860) 434-0796,http://yelp.com/biz/shoreline-medical-spa-and-plastic-surgery-old-lyme?osq=plastic+surgery,http://www.shorelinemedicalspa.com,,4-1 Huntley Rd,Old Lyme,CT,6371,Contacted,
Natural,Stamford Dental Spa,4.5,(203) 324-7777,http://yelp.com/biz/stamford-dental-spa-stamford-2?osq=plastic+surgery,http://www.stamforddentalspa.com,,Stamford Dental Spa124 Broad St,Stamford,CT,6901,Contacted,
Natural,Stanislaw Facial Plastic Surgery Center,N/A,(860) 409-1515,http://yelp.com/biz/stanislaw-facial-plastic-surgery-center-avon-2?osq=plastic+surgery,http://www.stanislawmd.com,,35 Nod Rd,Avon,CT,6001,Contacted,
Natural,Wallingford Eye Care Center,4,(203) 265-5152,http://yelp.com/biz/wallingford-eye-care-center-wallingford?osq=plastic+surgery,http://www.wallingfordeyecare.com,,821 N Main Street ExtSte 1,Wallingford,CT,6492,Contacted,
Natural,Aesthetic Plastic Surgery Center,N/A,(203) 222-3700,http://yelp.com/biz/aesthetic-plastic-surgery-center-westport?osq=plastic+surgery,http://www.westportplasticsurgery.com,,32 Imperial Ave,Westport,CT,6880,,
Natural,Yale-New Haven Hospital Saint Raphael Campus,4,(203) 789-3000,http://yelp.com/biz/yale-new-haven-hospital-saint-raphael-campus-new-haven?osq=plastic+surgery,http://www.ynhh.org/src/,,1450 Chapel St,New Haven,CT,6511,,
Natural,YOLO Laser Center & Med Spa,4,(203) 533-4560,http://yelp.com/biz/yolo-laser-center-and-med-spa-guilford-2?osq=plastic+surgery,http://www.yolomedspa.com,,1010 Village Walk,Guilford,CT,6437,Contacted,
Ad,"George C Peck Jr, MD",3,(973) 324-2300,http://www.yelp.com/biz/george-c-peck-jr-md-west-orange,http://www.gpeck.com,,776 Northfield Ave,West Orange,NJ,7052,,
Natural,Al-Husaini Plastic and Reconstructive Surgery,N/A,(914) 776-0505,http://yelp.com/biz/al-husaini-plastic-and-reconstructive-surgery-yonkers-2?osq=plastic+surgery,http://ahplasticsurgery.com,,955 Yonkers AveSte 103,Yonkers,NY,10704,Contacted,
Natural,"Albert Jen, MD",3.5,(718) 670-0006,http://yelp.com/biz/albert-jen-md-flushing?osq=plastic+surgery,http://albertjenmd.com/,,136-20 38th AveSte 7J,Flushing,NY,11354,,
Natural,Asanda Aveda Spa Lounge,4,(212) 966-0219,http://yelp.com/biz/asanda-aveda-spa-lounge-new-york?osq=plastic+surgery,http://asandaspa.com/,,598 Broadway3rd Fl,New York,NY,10012,,
Natural,Skin Center,4.5,(914) 949-6200,http://yelp.com/biz/skin-center-hartsdale?osq=plastic+surgery,http://bestskincenter.com,,220 S Central Ave,Hartsdale,NY,10530,Contacted,
Natural,Blaine Plastic Surgery,N/A,(631) 470-2000,http://yelp.com/biz/blaine-plastic-surgery-huntington-station?osq=plastic+surgery,http://blaineplasticsurgery.com/,,180 E Pulaski Rd,Huntington Station,NY,11746,Contacted,
Natural,Bronx Plastic Surgery,N/A,(718) 405-7500,http://yelp.com/biz/bronx-plastic-surgery-bronx?osq=plastic+surgery,http://bronxplasticsurgery.com/,,2425 Eastchester Rd,Bronx,NY,10469,Contacted,
Natural,"Mrudangi Thakur, MD",N/A,(914) 962-8888,http://yelp.com/biz/mrudangi-thakur-md-jefferson-valley-2?osq=plastic+surgery,http://cosmeticplasticsurgeonsny.com,,3650 Hill Blvd,Jefferson Valley,NY,10535,Contacted,
Natural,Island Plastic Surgery-Southbay OBGYN,N/A,(516) 977-9922,http://yelp.com/biz/island-plastic-surgery-west-islip-2?osq=plastic+surgery,http://islandplasticsurgery.com,,320 Montauk Highway,West Islip,NY,11795,Contacted,
Natural,"Jeffrey M. Jacobson, M.D.",N/A,(914) 421-0123,http://yelp.com/biz/jeffrey-m-jacobson-md-harrison?osq=plastic+surgery,http://jacobsonmd.com/,,440 Mamaroneck AveSte 412,Harrison,NY,10528,,
Natural,Mrudangi Thakur Plastic & Reconstructive Surgery PC,N/A,(914) 962-8888,http://yelp.com/biz/mrudangi-thakur-md-jefferson-valley?osq=plastic+surgery,http://jeffersonvalleyplasticsurgeons.com,,3650 Hill Blvd,Jefferson Valley,NY,10535,Contacted,
Natural,"Julie Kupersmith, M.D., P.C.",N/A,(914) 235-5171,http://yelp.com/biz/julie-kupersmith-m-d-p-c-new-rochelle-2?osq=plastic+surgery,http://jkmdpc.com/,,77 Quaker Ridge Rd Suite 200,New Rochelle,NY,10804,,
Ad,"Dr. Elliot Heller, MD",4,(212) 661-2563,http://www.yelp.com/biz/dr-elliot-heller-md-new-york,http://newyorkplasticsurgeryallure.com/,,150 E 61st St,New York,NY,10065,Contacted,
Natural,Forest Hills Plastic Surgery,1,(718) 263-6868,http://yelp.com/biz/kraft-robert-l-md-pc-forest-hills?osq=plastic+surgery,http://plasticsurgeonsqueens.com,,,Forest Hills,NY,11375,,
Natural,"Robert C Ciardullo, MD",5,(914) 948-4636,http://yelp.com/biz/robert-c-ciardullo-md-white-plains?osq=plastic+surgery,http://robertciardullomd.com/,,170 Maple AveSte 305,White Plains,NY,10601,Contacted,
Natural,"Somatic Massage Therapy, PC",4,(516) 686-9557,http://yelp.com/biz/somatic-massage-therapy-pc-new-hyde-park-3?osq=plastic+surgery,http://somaticmassagepc.com,,2050 Lakeville Rd,New Hyde Park,NY,11040,,
Natural,Spa Castle,3.5,(718) 939-6300,http://yelp.com/biz/spa-castle-college-point?osq=plastic+surgery,http://spacastleusa.com/ny/,,131-10 11th Ave,College Point,NY,11356,,
Natural,The Grand at Queens,2,(718) 746-0400,http://yelp.com/biz/queens-center-for-rehabilitation-whitestone?osq=plastic+surgery,http://thegrandhealthcare.com/queens,,157-15 19th Ave,Whitestone,NY,11357,,
Natural,Thomas W Loeb MD PC,N/A,(516) 487-3134,http://yelp.com/biz/thomas-w-loeb-md-pc-great-neck?osq=plastic+surgery,http://thomasloebmd.com/,,1000 Northern BlvdSte 304,Great Neck,NY,11021,Contacted,
Natural,Whitestone Oral & Maxillofacial Surgery,N/A,(718) 747-7899,http://yelp.com/biz/whitestone-oral-and-maxillofacial-surgery-queens?osq=plastic+surgery,http://whitestonesurgery.com,,150-43C 14th Ave,Queens,NY,11357,Contacted,
Natural,Salud Spa & Holistic Medicine Center,1,(718) 655-1188,http://yelp.com/biz/salud-spa-and-holistic-medicine-center-bronx?osq=plastic+surgery,http://www.123salud.net,,2458 Williamsbridge Rd,Bronx,NY,10469,,
Natural,Advanced Cosmetic Surgery of New York,N/A,(631) 499-1831,http://yelp.com/biz/advanced-cosmetic-surgery-of-new-york-commack-4?osq=plastic+surgery,http://www.advancedcosmeticsurgeryny.com,,5036 Jericho Tpke,Commack,NY,11725,Contacted,
Natural,"Advanced Dermatology, P.C.",3.5,(516) 625-6222,http://yelp.com/biz/advanced-dermatology-p-c-roslyn-heights?osq=plastic+surgery,http://www.advanceddermatologypc.com,,175 I.U. Willets Road,Roslyn Heights,NY,11507,Contacted,
Natural,Sandak David L DDS,2,(914) 997-1111,http://yelp.com/biz/sandak-david-l-dds-white-plains?osq=plastic+surgery,http://www.advancedperio.com,,10 Old Mamaroneck Rd,White Plains,NY,10605,,
Natural,"Aesthetic Plastic Surgery, PC",N/A,(516) 498-8400,http://yelp.com/biz/aesthetic-plastic-surgery-pc-great-neck?osq=plastic+surgery,http://www.aestheticplasticsurgerypc.com/,,833 Northern BlvdSte 160,Great Neck,NY,11021,Contacted,
Natural,"Mahira Tanovic, MD Plastic Surgeon",5,(516) 354-1330,http://yelp.com/biz/mahira-tanovic-md-new-hyde-park?osq=plastic+surgery,http://www.apsns.net,,444 LAKEVILLE ROAD SUITE 303,lake success,NY,11042,Contacted,
Natural,Aristocrat Plastic Surgery & MedAesthetics - Dr. Kevin Tehrani,5,(516) 498-9790,http://yelp.com/biz/aristocrat-plastic-surgery-and-medaesthetics-dr-kevin-tehrani-great-neck?osq=plastic+surgery,http://www.AristocratPS.com,,560 Northern BlvdSte 109,Great Neck,NY,11021,Contacted,
Natural,"Elliot B Duboys, MD",1,(631) 423-1000,http://yelp.com/biz/elliot-b-duboys-md-west-hills?osq=plastic+surgery,http://www.associatedplasticsurgeons.com,,864 W Jericho Tpke,West Hills,NY,11743,Contacted,
Natural,"Bernard Fialkoff, DDS",3.5,(718) 229-3838,http://yelp.com/biz/bernard-fialkoff-dds-oakland-gardens?osq=plastic+surgery,http://www.baysidedentist.com,,5603 214th St,Oakland Gardens,NY,11364,Contacted,
Natural,Bellava MedAesthetics & Plastic Surgery Center,4.5,(914) 864-2140,http://yelp.com/biz/bellava-medaesthetics-and-plastic-surgery-center-bedford-hills?osq=plastic+surgery,http://www.bellavaspa.com,,182 Rte 117 Bypass Rd,Bedford Hills,NY,10507,Contacted,
Ad,Bosley Medical,5,(888) 978-4247,http://www.yelp.com/biz/bosley-medical-rye-brook,http://www.bosley.com/,,800 Westchester AveSuite 641,Rye Brook,NY,10573,,
Natural,"Scott Blyer, MD",1,(631) 232-2636,http://yelp.com/biz/scott-blyer-md-islandia?osq=plastic+surgery,http://www.cameosurgery.com,,3750 Expy Dr S,Islandia,NY,11749,Contacted,
Natural,CityMD - East Meadow,4.5,(516) 227-2273,http://yelp.com/biz/citymd-east-meadow-east-meadow?osq=plastic+surgery,http://www.citymd.com/urgent-care-locations/long-island/east-meadow,,1919 Hempstead Tpke,East Meadow,NY,11554,,
Ad,Clean Slate Laser,5,(914) 949-7943,http://www.yelp.com/biz/clean-slate-laser-white-plains,http://www.cleanslatelaser.com,,280 Mamaroneck AveSte 205,White Plains,NY,10605,Contacted,
Natural,Cohen Plastic Surgery,N/A,(516) 773-4200,http://yelp.com/biz/cohen-plastic-surgery-great-neck-plaza?osq=plastic+surgery,http://www.cohenplasticsurgery.com,,560 Northern BlvdSte 209,Great Neck Plaza,NY,11021,,
Natural,"Mordcai Blau, MD PC",4.5,(914) 428-4700,http://yelp.com/biz/mordcai-blau-md-pc-white-plains?osq=plastic+surgery,http://www.cosmetic-md.com,,12 Greenridge Avenue,White Plains,NY,10605,Contacted,
Natural,"Peter L. Schwartz, MD",N/A,(516) 496-7757,http://yelp.com/biz/schwartz-peter-l-md-md-woodbury?osq=plastic+surgery,http://www.cosmeticplasticsurgerylongisland.com/,,143 Froehlich Farm Blvd,Woodbury,NY,11797,Contacted,
Natural,Kleinman Plastic Surgery,N/A,(914) 253-0700,http://yelp.com/biz/kleinman-plastic-surgery-rye-brook?osq=plastic+surgery,http://www.cosmeticsurgerywestchester.com/,,800 Westchester AveSte S-512,Rye Brook,NY,10573,Contacted,
Natural,"Robert A Jacobs, MD",5,(631) 473-7070,http://yelp.com/biz/robert-a-jacobs-md-port-jefferson-sta-2?osq=plastic+surgery,http://www.csnycosmetic.com,,4616 Nesconset Hwy,Port Jefferson Sta,NY,11776,Contacted,
Natural,Day Plastic Surgery,N/A,(516) 731-2009,http://yelp.com/biz/day-plastic-surgery-plainedge?osq=plastic+surgery,http://www.dayplasticsurgery.com,,4250 Hempstead Tpke,Plainedge,NY,11714,Contacted,
Natural,"Gregory J. Diehl, MD, PC",5,(631) 476-7300,http://yelp.com/biz/gregory-j-diehl-md-pc-port-jefferson-sta?osq=plastic+surgery,http://www.diehlplasticsurgery.com,,1500 Rte 112Bldg 10,Port Jefferson Sta,NY,11776,Contacted,
Natural,"Neal Goldberg, MD FACS",5,(914) 722-1600,http://yelp.com/biz/neal-goldberg-md-facs-scarsdale?osq=plastic+surgery,http://www.doctorgoldberg.com,,495 Central Park AveSte 305 B,Scarsdale,NY,10583,Contacted,
Natural,"Edmund Kwan, M.D.",1,(718) 661-4580,http://yelp.com/biz/edmund-kwan-m-d-flushing?osq=plastic+surgery,http://www.dredmundkwan.com/,,"164-10 Northern BlvdSte 213,",Flushing,NY,11358,Contacted,
Ad,"Michael A Fiorillo, MD",4.5,(845) 623-6141,http://www.yelp.com/biz/michael-a-fiorillo-md-pearl-river,http://www.drfiorillo.com,,150 S Pearl St,Pearl River,NY,10965,Contacted,
Ad,"Yael Halaas, MD",4.5,(212) 688-5955,http://www.yelp.com/biz/yael-halaas-md-new-york-2,http://www.drhalaas.com,,120 E 56th StSte 800,New York,NY,10022,Contacted,
Natural,"Mordechai M Hoschander,DMD",4,(718) 263-3446,http://yelp.com/biz/mordechai-m-hoschander-dmd-flushing?osq=plastic+surgery,http://www.drhoschander.com,,14402 Jewel Ave,Flushing,NY,11367,,
Natural,"Kayvan Keyhani MD, MPH",5,(914) 245-3303,http://yelp.com/biz/kayvan-keyhani-md-mph-yorktown-heights?osq=plastic+surgery,http://www.drkeyhani.com,,3535 Hill BlvdSte R,Yorktown Heights,NY,10598,,
Natural,"Lloyd D Landsman, MD, PC",1,(631) 864-4111,http://yelp.com/biz/lloyd-d-landsman-md-pc-smithtown-2?osq=plastic+surgery,http://www.drlandsman.com,,994 W Jericho TpkeSte 102,Smithtown,NY,11787,Contacted,
Ad,"Dr. Sam Rizk, MD",3.5,(212) 452-3362,http://www.yelp.com/biz/dr-sam-rizk-md-new-york,http://www.drsamrizk.com,,1040 Park Ave,New York,NY,10028,,
Natural,"Wolfeld Plastic Surgery, LLC",N/A,(212) 281-1000,http://yelp.com/biz/wolfeld-plastic-surgery-llc-white-plains?osq=plastic+surgery,http://www.drwolfeld.com,,311 N StSte 401,White Plains,NY,10601,,
Natural,East End Plastic Surgery & Laser Center,N/A,(631) 318-0003,http://yelp.com/biz/east-end-plastic-surgery-and-laser-center-riverhead?osq=plastic+surgery,http://www.eastend-plasticsurgery.com/,,1267 E Main St,Riverhead,NY,11901,Contacted,
Natural,New York Eye Plastic and Reconstructive Surgery,N/A,(917) 686-3929,http://yelp.com/biz/new-york-eye-plastic-and-reconstructive-surgery-rye-brook?osq=plastic+surgery,http://www.eyeplasticsurgerydoctor.com,,90 S Ridge StSte LL8,Rye Brook,NY,10573,,
Natural,Rosenthal Eye Surgery & Rosenthal Facial Plastic Surgery,5,(516) 466-8989,http://yelp.com/biz/rosenthal-eye-surgery-and-rosenthal-facial-plastic-surgery-great-neck?osq=plastic+surgery,http://www.eyesurgery.org,,310 E Shore Rd,Great Neck,NY,11023,Contacted,
Natural,EZ Dental Care,4.5,(718) 886-0860,http://yelp.com/biz/ez-dental-care-flushing-2?osq=plastic+surgery,http://www.ezdentalcare.com,,132-61 41 RdSte 102,Flushing,NY,11355,,
Natural,"Linda L Huang, DDS, MD",5,(917) 793-6888,http://yelp.com/biz/linda-l-huang-dds-md-flushing?osq=plastic+surgery,http://www.flushingoralsurgery.com,,134-43 Maple AveSte 1E,Flushing,NY,11355,Contacted,
Natural,Fox Hair Studio Two,3.5,(718) 445-2888,http://yelp.com/biz/fox-hair-studio-two-queens?osq=plastic+surgery,http://www.foxhairstudio.com,,144-65 Northern Blvd.,Queens,NY,11354,,
Natural,Associated Podiatrists of Roslyn,5,(516) 484-1420,http://yelp.com/biz/associated-podiatrists-of-roslyn-roslyn?osq=plastic+surgery,http://www.GreatFootCare.com,,1514 Old Northern Blvd,Roslyn,NY,11576,,
Natural,"Stephen T. Greenberg, MD",4,(516) 364-4200,http://yelp.com/biz/stephen-t-greenberg-md-woodbury-3?osq=plastic+surgery,http://www.greenbergcosmeticsurgery.com/about-us/woodbury,,160 Crossways Park Dr,Woodbury,NY,11797,Contacted,
Natural,"Gregory A DeVita, MD FACS",4.5,(516) 466-7000,http://yelp.com/biz/gregory-a-devita-md-facs-great-neck?osq=plastic+surgery,http://www.gregorydevita.com/,,650 Northern Blvd,Great Neck,NY,11020,Contacted,
Natural,Harris Plastic Surgery,N/A,(631) 422-9100,http://yelp.com/biz/harris-plastic-surgery-west-islip?osq=plastic+surgery,http://www.harrisplasticsurgery.com/,,500 Montauk HwySte H,West Islip,NY,11795,Contacted,
Natural,iSmile Orthodontics,5,(914) 428-5335,http://yelp.com/biz/ismile-orthodontics-white-plains?osq=plastic+surgery,http://www.ismileorthodontics.com/,,95 Church StSte 400,White Plains,NY,10601,,
Natural,"Jon B Turk, MD",N/A,(516) 921-8989,http://yelp.com/biz/jon-b-turk-md-woodbury-2?osq=plastic+surgery,http://www.jonturkmd.com,,173 Froehlich Farm Blvd,Woodbury,NY,11797,Contacted,
Natural,"James N Romanelli, MD FACS",3.5,(631) 424-3600,http://yelp.com/biz/james-n-romanelli-md-facs-huntington?osq=plastic+surgery,http://www.jrcs.com,,110 E Main StSte 6,Huntington,NY,11743,Contacted,
Natural,J Spa,N/A,(516) 773-2424,http://yelp.com/biz/j-spa-great-neck?osq=plastic+surgery,http://www.JSpaMedSpa.com,,440 Northern Blvd,Great Neck,NY,11021,Contacted,
Natural,"Julie Vasile, MD, FACS",N/A,(914) 242-7640,http://yelp.com/biz/julie-vasile-md-facs-mt-kisco?osq=plastic+surgery,http://www.julievasilemd.com/,,400 E Main St,Mt. Kisco,NY,10549,Contacted,
Natural,Laser Care,5,(718) 747-4774,http://yelp.com/biz/laser-care-new-hyde-park?osq=plastic+surgery,http://www.lasercare.li/,,1300 Union TpkeSte 206,New Hyde Park,NY,11040,Contacted,
Natural,Lebowitz Plastic Surgery,5,(631) 424-0101,http://yelp.com/biz/lebowitz-plastic-surgery-huntington?osq=plastic+surgery,http://www.lebowitzplasticsurgery.com/,,29 Green St,Huntington,NY,11743,Contacted,
Natural,"Rhee Charlotte, MD, F.A.C.S",N/A,(631) 424-6707,http://yelp.com/biz/rhee-charlotte-md-f-a-c-s-huntington-station?osq=plastic+surgery,http://www.liplasticsurgery.com,,257 E Jericho Tpk,Huntington Station,NY,11746,Contacted,
Natural,The Plastic Surgery Center,N/A,(631) 653-6112,http://yelp.com/biz/the-plastic-surgery-center-quogue?osq=plastic+surgery,http://www.longislandbreastsurgery.com,,25 Montauk Hwy,Quogue,NY,11959,Contacted,
Natural,Rosenfeld Plastic Surgery,N/A,(718) 423-4100,http://yelp.com/biz/rosenfeld-plastic-surgery-bayside-2?osq=plastic+surgery,http://www.plasticsurgerynynj.com,,16-21 Bell Blvd,Bayside,NY,11360,Contacted,
Natural,NY Face Place,1,(516) 294-9454,http://yelp.com/biz/ny-face-place-mineola?osq=plastic+surgery,http://www.longislandfacialcosmeticsurgery.com/,,134 Mineola Blvd Fl 3,Mineola,NY,11501,,
Ad,Manhattan Aesthetic Surgery,4.5,(917) 703-7069,http://www.yelp.com/biz/manhattan-aesthetic-surgery-new-york-2,http://www.manhattanaestheticsurgery.com,,60 E 56th St7th Fl,New York,NY,10022,,
Natural,Spatique Medical Spa,5,(631) 724-7720,http://yelp.com/biz/spatique-medical-spa-smithtown?osq=plastic+surgery,http://www.marinaperedomd.com,,260 E Main StSte 112,Smithtown,NY,11787,,
Natural,Marotta Facial Plastic Surgery,5,(631) 982-2022,http://yelp.com/biz/marotta-facial-plastic-surgery-smithtown?osq=plastic+surgery,http://www.marottamd.com/,,895 W Jericho Tpke,Smithtown,NY,11787,,
